##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Mucor_WGS_A01_1_10475491_22MKWLLT3_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26877936
1103	30-34	-0.03647235780658775
1103	35-39	-0.07308834872807068
1103	40-44	-0.01641776655114313
1103	45-49	-0.04596200583193166
1103	50-54	-0.05433503204324808
1103	55-59	-0.044256946821953136
1103	60-64	0.011387902417844487
1103	65-69	-0.015495663490973755
1103	70-74	-0.011433173822261722
1103	75-79	-0.009661711801420836
1103	80-84	0.007704608991204509
1103	85-89	-0.028088700873475148
1103	90-94	-0.011310775734450829
1103	95-99	-0.031494326290435026
1103	100-104	0.00256139684555734
1103	105-109	-0.02333879883197909
1103	110-114	-0.07275372577191064
1103	115-119	-0.06417222581244886
1103	120-124	-2.603504670517509E-4
1103	125-129	-0.05088880539467766
1103	130-134	-0.04069155105572264
1103	135-139	-0.06753098411613934
1103	140-144	-0.09063206117921396
1103	145-149	-0.0035539060093014996
1103	150	0.026819975367878612
1104	1	-0.1233223067166449
1104	2	-0.011245728830189705
1104	3	-0.02794147673758829
1104	4	0.008860546454492635
1104	5	0.05453219135036136
1104	6	0.004199970911940909
1104	7	0.0053441939886980094
1104	8	0.04021941769580906
1104	9	-0.0026601576248239667
1104	10-14	-0.029750180365823553
1104	15-19	-0.04020794860408472
1104	20-24	-0.006585389038171741
1104	25-29	-0.014668375067685702
1104	30-34	-0.14545185663492077
1104	35-39	-0.10140415844896467
1104	40-44	-0.08945871258814009
1104	45-49	-0.08303862665114536
1104	50-54	-0.13341806271432688
1104	55-59	-0.11905994080700566
1104	60-64	-0.08797115018473534
1104	65-69	-0.08751780510402796
1104	70-74	-0.059089470173425696
1104	75-79	-0.053813543892168525
1104	80-84	-0.0698791239973815
1104	85-89	-0.04005171706361921
1104	90-94	-0.04882174885517543
1104	95-99	-0.07900757055899987
1104	100-104	-0.07534774136909306
1104	105-109	-0.07015909737643256
1104	110-114	-0.034758140339150145
1104	115-119	-0.056245541941493116
1104	120-124	-0.045702806722893285
1104	125-129	-0.04736727918331951
1104	130-134	-0.05847751067614837
1104	135-139	-0.08105183389577064
1104	140-144	-0.06193922580040123
1104	145-149	-0.039740017694597896
1104	150	0.050069198132710824
1105	1	-0.02255617000539445
1105	2	0.005393386426007396
1105	3	-0.014571826264692334
1105	4	0.05442518436901622
1105	5	-0.018608019276136645
1105	6	-0.03693467686575502
1105	7	0.06780450958261497
1105	8	-0.1088062768187612
1105	9	0.09144328720065431
1105	10-14	-0.009728830904649044
1105	15-19	-0.07988954191021946
1105	20-24	-0.06591722929255894
1105	25-29	-0.001534592335111995
1105	30-34	-0.06484971882992596
1105	35-39	-0.08210933622358141
1105	40-44	-0.03148036361621109
1105	45-49	0.029682618091612767
1105	50-54	-0.02148148214178036
1105	55-59	-0.053756338096953016
1105	60-64	-0.0429492958065012
1105	65-69	-0.024341770727254186
1105	70-74	-0.05271406917935906
1105	75-79	-0.053431854259841316
1105	80-84	-0.01650340529751304
1105	85-89	-0.03496093574250381
1105	90-94	0.03689286095460176
1105	95-99	-0.010683724594201749
1105	100-104	-0.008274392828298005
1105	105-109	0.01596663942206078
1105	110-114	0.018692093974649993
1105	115-119	0.04846665763862035
1105	120-124	0.009227779861625152
1105	125-129	0.014521184407087162
1105	130-134	0.01750580262189061
1105	135-139	0.013231702626328001
1105	140-144	0.05019006247865576
1105	145-149	0.11590985667557874
1105	150	0.189972816612773
1106	1	-0.07729573770363629
1106	2	0.093472034872228
1106	3	-0.00898396535396273
1106	4	0.04736305435883281
1106	5	0.049381926640919005
1106	6	0.037936321153331676
1106	7	0.0915108776035396
1106	8	0.030879712839094964
1106	9	0.08940783229278537
1106	10-14	-0.01710583680387856
1106	15-19	-0.042443418197919414
1106	20-24	-0.04622692563901154
1106	25-29	-0.06943453969245184
1106	30-34	-0.09513020411321804
1106	35-39	-0.09597505875717616
1106	40-44	-0.06729480776220953
1106	45-49	-0.042253085970124005
1106	50-54	-0.012314030643892693
1106	55-59	-0.052395350311016387
1106	60-64	-0.07766802168482911
1106	65-69	-0.07603138927065345
1106	70-74	-0.037205282160918784
1106	75-79	-0.048362936804856815
1106	80-84	-0.04904910468574286
1106	85-89	-0.08372238620678019
1106	90-94	-0.055555132384803585
1106	95-99	-0.07517698924250737
1106	100-104	-0.11531880431479635
1106	105-109	-0.04564315417248821
1106	110-114	-0.06500422179518495
1106	115-119	-0.03721548834983679
1106	120-124	-0.06863685638771244
1106	125-129	-0.04341662032324223
1106	130-134	-0.01250814001066658
1106	135-139	-0.04991216981678548
1106	140-144	-0.02060130614106015
1106	145-149	0.023018135448538146
1106	150	0.04866188857933196
1107	1	-0.03878380334991505
1107	2	-0.01938649581411056
1107	3	-0.03927643243862633
1107	4	0.05817900019049205
1107	5	0.0058457899794888135
1107	6	0.02159903044351097
1107	7	0.005124700121690751
1107	8	0.019221296045969893
1107	9	0.024166828911823757
1107	10-14	-0.001625612066767701
1107	15-19	-0.022113219099814785
1107	20-24	-0.03800667649434786
1107	25-29	-0.004935405945467153
1107	30-34	-0.06784724137806109
1107	35-39	-0.04879603335208316
1107	40-44	-0.04989976967510046
1107	45-49	-0.023704129806631613
1107	50-54	-0.03463892471603458
1107	55-59	-0.06306482477984332
1107	60-64	-0.052647220535988026
1107	65-69	-0.06866195109388684
1107	70-74	-0.05128757847743515
1107	75-79	-0.04809332003466693
1107	80-84	-0.06411623847965586
1107	85-89	-0.08983352591426552
1107	90-94	-0.022926421000498465
1107	95-99	-0.06743381452783836
1107	100-104	-0.0450786186454053
1107	105-109	-0.004376541759299357
1107	110-114	-0.002579664646269464
1107	115-119	-0.025120524345432216
1107	120-124	-0.027538086603811962
1107	125-129	-0.07071632822754736
1107	130-134	-0.12489076908042307
1107	135-139	-0.12210131073748443
1107	140-144	-0.13577692517478113
1107	145-149	-0.16637324606700332
1107	150	-0.20699579585697592
1108	1	0.0052859178808404295
1108	2	0.05214587678636917
1108	3	0.024111110657024426
1108	4	0.14000729414534874
1108	5	0.03295163355237918
1108	6	-0.0347046997021252
1108	7	0.005569615508129289
1108	8	0.06338229152389374
1108	9	0.017460779580702024
1108	10-14	-0.006110772690348654
1108	15-19	-0.04330726693851261
1108	20-24	-0.013175666571818567
1108	25-29	-0.04049426931285183
1108	30-34	-0.057167157893793785
1108	35-39	-0.0780462815388816
1108	40-44	-0.07371938642943832
1108	45-49	-0.04853754266341781
1108	50-54	-0.07618848947293344
1108	55-59	-0.07060683445062921
1108	60-64	-0.09420088332029763
1108	65-69	-0.059759768866335605
1108	70-74	-0.10610688201208518
1108	75-79	-0.06831274518759045
1108	80-84	-0.07581258619653397
1108	85-89	-0.07540340273035184
1108	90-94	-0.03143847101729591
1108	95-99	-0.07234220824731352
1108	100-104	-0.10499064331031605
1108	105-109	-0.08985107424189209
1108	110-114	-0.048848536411817634
1108	115-119	-0.02920150770063401
1108	120-124	-0.030879878948759654
1108	125-129	-0.0602228074417539
1108	130-134	-0.07793095126381644
1108	135-139	-0.06688674314410292
1108	140-144	-0.0474236960735368
1108	145-149	-0.033944260458241615
1108	150	-0.05703518814559061
1109	1	-0.06473446014307171
1109	2	0.027393752309926356
1109	3	-0.027937010321060995
1109	4	0.04546199242892612
1109	5	0.07698161046264573
1109	6	0.014076427504583933
1109	7	0.05148571956119241
1109	8	0.06555600289053842
1109	9	0.0025854624838430595
1109	10-14	0.004796769837028592
1109	15-19	0.01423792938430779
1109	20-24	0.016580219964005494
